,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,task_uuid,schema_namespace,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,Points,schema
6,Evidence,5.0,,ordinal,2.0,-0.4,Sample representativeness,56.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,ordinal,2.0,0.7642184301183759,0.7642184301183759,"[1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448]",0.4487848161843404,0.29445311200186153,0.6065016231513581,0.5,0.5,13.0,6.0,"375,000 Medicare patients//an emergency department for//common reasons",How representative is the sample of the population that the claim is made about?,Fairly representative,True,-0.24260064926054326,Evidence
7,Evidence,5.0,,ordinal,3.0,-1.0,Sample representativeness,147.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,ordinal,3.0,0.689411164686254,0.689411164686254,L,L,L,0.344705582343127,0.5,0.5,15.0,6.0,nan,How representative is the sample of the population that the claim is made about?,Somewhat representative,True,-0.344705582343127,Evidence
8,Evidence,9.0,,ordinal,3.0,-2.0,Alternative explanation,174.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,d2de0341-c711-40d0-9790-176e94e84c67,Evidence Specialist,ordinal,3.0,0.7966412823139591,0.7966412823139591,[],nan,nan,0.7966412823139591,0.5,0.5,10.0,5.0,nan,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,True,-1.5932825646279183,Evidence
9,Evidence,9.0,,ordinal,4.0,-1.0,Alternative explanation,197.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f676179d-3cf0-4ab1-9bb3-5126cd117f2f,Evidence Specialist,ordinal,4.0,0.6854769611161382,0.6854769611161382,[],nan,nan,0.6854769611161382,0.5,0.5,14.0,5.0,nan,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.6854769611161382,Evidence
10,Evidence,9.0,,ordinal,4.0,-1.0,Alternative explanation,151.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,ordinal,4.0,0.610051862786448,0.610051862786448,[],nan,nan,0.610051862786448,0.5,0.5,17.0,5.0,nan,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.610051862786448,Evidence
16,Evidence,11.0,,ordinal,1.0,-3.0,Statistical uncertainty,152.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,ordinal,1.0,0.8100079007098944,0.8100079007098944,"[2954, 2955, 2956, 2957, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969, 2970, 2971, 2972, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016]",0.42882510283382613,0.2568612328768972,0.6194165017718603,0.5,0.5,17.0,3.0,30 percent more likely to become long-term users of painkillers,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,Yes,True,-1.8582495053155808,Evidence
17,Evidence,11.0,,ordinal,1.0,-3.0,Statistical uncertainty,61.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,ordinal,1.0,0.5590942286527155,0.5590942286527155,L,L,L,0.27954711432635776,0.5,0.5,17.0,3.0,nan,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,Yes,True,-0.8386413429790733,Evidence
18,Evidence,11.0,,ordinal,1.0,-3.0,Statistical uncertainty,16.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence Specialist,ordinal,1.0,0.6364638930045924,0.6364638930045924,"[3513, 3514, 3515, 3516, 3517, 3518, 3519, 3520, 3521, 3522, 3523, 3524, 3525, 3526, 3527, 3528, 3529, 3530, 3531, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 3547, 3548, 3549, 3550, 3551, 3552, 3553, 3554, 3555, 3556, 3557, 3558, 3559, 3560, 3561, 3562, 3563, 3564, 3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 3581, 3582, 3583, 3584, 3585, 3586, 3587, 3588, 3589, 3590, 3591, 3592, 3593, 3594, 3595, 3596, 3597, 3598, 3599, 3600, 3601, 3602, 3603, 3604, 3605, 3606, 3607, 3608, 3609, 3610, 3611, 3612, 3613, 3614, 3615, 3616, 3617, 3618, 3619, 3620, 3621, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3631, 3632, 3633, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3642, 3643, 3644, 3645, 3646, 3647, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656]",0.6846497569192737,0.5313125882283567,0.660556824961933,0.5,0.5,19.0,3.0,"One in every 68 children is diagnosed with autism; but among the younger siblings of a child on the spectrum, the rate is as high as one in five",Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,Yes,True,-1.981670474885799,Evidence
19,Evidence,11.0,,ordinal,1.0,-3.0,Statistical uncertainty,175.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,d2de0341-c711-40d0-9790-176e94e84c67,Evidence Specialist,ordinal,1.0,0.6634083318910209,0.6634083318910209,"[1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381]",0.7071444131408285,0.44544630998081314,0.6852763725159248,0.5,0.5,18.0,3.0,The faster growth rate of the surface areas of their brains correctly predicted eight times out of 10 which of the high-risk children would go on to be diagnosed with the condition,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,Yes,True,-2.0558291175477743,
20,Evidence,11.0,,ordinal,1.0,-3.0,Statistical uncertainty,85.0,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence Specialist,ordinal,1.0,0.5684447624107735,0.5684447624107735,L,L,L,0.28422238120538673,0.5,0.5,17.0,3.0,nan,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,Yes,True,-0.8526671436161601,
21,Evidence,11.0,,ordinal,3.0,-1.0,Statistical uncertainty,129.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,983244f8-22a2-4674-8c34-b2c83e3c755e,Evidence Specialist,ordinal,3.0,0.5854527020503246,0.5854527020503246,"[4817, 4818, 4819, 4820, 4821, 4822, 4823, 4824, 4825, 4826, 4827, 4828, 4829, 4830, 4831, 4832, 4833, 4834, 4835, 4836, 4837, 4838, 4839, 4840, 4841, 4842, 4843, 4844, 4845, 4846, 4847, 4848, 4849, 4850, 4851, 4852, 4853, 4854, 4855, 4856, 4857, 4858, 4859, 4860, 4861, 4862, 4863, 4864, 4865, 4866, 4867, 4868, 4869, 4870, 4871, 4872]",0.7630540272572975,0.4377581364491667,0.6742533646538111,0.5,0.5,17.0,3.0,as you can see in this chart of prescriptions per doctor,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,No,True,-0.6742533646538111,
22,Evidence,12.0,,ordinal,2.0,-2.0,Systematic uncertainty,17.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence Specialist,ordinal,2.0,0.6213906069395072,0.6213906069395072,[],nan,nan,0.6213906069395072,0.5,0.5,16.0,5.0,nan,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",Somewhat Likely,True,-1.2427812138790144,
23,Evidence,12.0,,ordinal,4.0,-0.5,Systematic uncertainty,176.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,d2de0341-c711-40d0-9790-176e94e84c67,Evidence Specialist,ordinal,4.0,0.7089324849140702,0.7089324849140702,[],nan,nan,0.7089324849140702,0.5,0.5,15.0,5.0,nan,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",Somewhat Unlikely,True,-0.3544662424570351,
24,Evidence,12.0,,ordinal,4.0,-0.5,Systematic uncertainty,86.0,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence Specialist,ordinal,4.0,0.8343166849676517,0.8343166849676517,[],nan,nan,0.8343166849676517,0.5,0.5,13.0,5.0,nan,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",Somewhat Unlikely,True,-0.41715834248382583,
28,Evidence,13.0,,ordinal,2.0,-0.5,Open to evidence,63.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,ordinal,2.0,0.5745058339396523,0.5745058339396523,[],nan,nan,0.5745058339396523,0.5,0.5,13.0,5.0,nan,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",Somewhat Likely,True,-0.28725291696982613,
