article_filename,article_sha256,namespace,start_pos,end_pos,topic_name,case_number,target_text
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,142,195,Evidence,1,"more than 40,000 people died on US roadways last year"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,262,373,Evidence,2,"Overall, highway deaths increased 6% over 2015 and 14% over 2014. This is the sharpest two-year rise since 1964"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,449,619,Evidence,3,"The worst month in 2016 was October, which contributed 3,790 to the total 40,200 highway deaths, according to the report. January saw the lowest number, with 2,740 deaths"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,703,772,Evidence,4,"Texas, California and Florida each had more than 3,000 deaths in 2016"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,774,879,Evidence,5,"Alaska, Vermont, Rhode Island and the District of Columbia had the least, with fewer than 100 deaths each"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,882,1119,Evidence,6,"Overall, the researchers estimated 12.4 deaths per 100,000 people in 2016, a 5% increase over the 2015 rate. They also estimate about 4.6 million motor-vehicle injuries required a medical consultation in 2016, an increase of 7% from 2015"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,1659,1752,Evidence,7,"These days, gas prices are lower and job growth is better, so people are traveling more often"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,2354,2438,Evidence,8,"increasingly, we're seeing drivers texting or doing other activities on their phones"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,3051,3143,Evidence,9,who cites a 9% increase in the number of pedestrian deaths on the road between 2015 and 2016
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,3146,3401,Evidence,10,"We are pretty sure there's more distracted pedestrians in our towns, on our sidewalks, than ever before, and that's probably increasing,"" he said. Although aware that it's not safe to text while driving, pedestrians think nothing of doing so while walking"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,5334,5445,Evidence,11,"In the last three years alone, 13 states have raised speed limits on at least some portion of their interstates"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,5591,5806,Evidence,12,"Of these states, five states -- Maryland, Montana, South Dakota, Washington and Wyoming -- showed a diminished number of highway deaths, however the majority showed increases, suggesting her theory is mainly correct"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,6862,7006,Evidence,13,"I have, 55 of those 112 fatalities had a seat belt available in the vehicle they were in, yet they chose not to wear it at the time of the crash"
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,7024,7060,Evidence,14,We have 34 listed as alcohol-related
1730SSSArticle.txt,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,nan,7351,7429,Evidence,15,"We've taught well over 6,000 kids since the (program's) inception in late 2008"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,386,646,Evidence,0,"New research suggests that rather than lying in bed miserably counting imaginary sheep, insomniacs should get out among some real ones and try a spot of camping.

If a person wants to go to bed at an earlier hour, then a weekend camping could be just the thing"
1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,nan,697,849,Evidence,0,"According to a new study, just a couple of nights under canvas is enough to reset the body’s internal clock, enabling people to fall asleep more quickly"
