article_num,article_sha256,article_id,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
2005,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,raw_3047990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,a6012395-1d36-4cdd-bb4f-5bb7842cf10d,3d2ef8e4-6aa6-401d-988f-40612ce49f28,Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,1,0,checklist,L,0.0,1.0,L,L,L,0.0,3,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L
